om,yr,mo,dy,date,time,tz,st,stf,stn,mag,inj,fat,permanent_fat,mobile_fat,other_fat,unknown_fat,business_fat,church_fat,school_fat,permstructure_fat,outside_fat,vehicle_fat,male_fat,female_fat,unknown_gender,fat_under18,fat_18t44,fat_45t64,fat_over65,unknown_age,loss,closs,slat,slon,elat,elon,len,wid,fc,DateTim,Hour,Year,Length,Width,cas,AreaPth,Ma,ED,ID,TotalPp,TotalMl,MlUnd18,Ml18t44,Ml45t64,MlOvr65,TotlFml,FmlUn18,Fml1844,Fml4564,FmlOv65,White,Black,TtlHsnU,MoblHms,MdnIncm
1124,1996,4,21,1996-04-21,22:12:00,3,AR,40,19,3,89,2,2,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,150,0,35.38,-94.45,35.52,-94.28,10.1,1050,0,1996-04-21 22:12:00,22,1996,16254.334,754.0764846,91,12257011.04,Apr,1059963055760,166,2610.14129,1275.760958,385.8467707,500.3769517,238.9485981,144.530021,1334.380332,380.2494754,512.7813535,274.3617416,173.0463783,2116.720723,196.1286703,1057.514247,40.63158674,43413.97715
730,1996,4,21,1996-04-21,23:15:00,3,AR,5,14,3,6,2,0,2,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,1,0,35.77,-93.77,35.93,-93.57,15,1050,0,1996-04-21 23:15:00,23,1996,24140.1,754.0764846,8,18203481.75,Apr,1574202558059,168,72.68767464,36.5115421,9.480468507,12.25558938,9.150594213,5.386130919,36.17613254,9.737192081,11.8626612,9.152849736,5.662188612,70.2730246,0.1113275762,35.84469528,7.142634985,34763.29687
293,1996,5,12,1996-05-12,20:10:00,3,FL,12,20,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.05,0,27.18,-80.92,27.25,-80.83,0.1,20,0,1996-05-12 20:10:00,20,1996,160.934,14.36336161,1,2311.553238,May,88903372.74,179,4.58594124,2.333233628,0.6247870774,0.86311308,0.450187687,0.3595865397,2.252707611,0.6026485754,0.8095397836,0.4803566301,0.3957218663,3.813449824,0.1878211056,1.979670623,0.6991868269,47813.62823
470,1996,7,18,1996-07-18,18:05:00,3,WI,55,9,2,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.45,0,43.95,-88.27,43.9,-88.17,6.4,200,0,1996-07-18 18:05:00,18,1996,10299.776,143.6336161,2,1479394.072,Jul,97534371697,189,22.11182389,11.48429239,3.214886278,4.094414608,2.470260819,1.509693642,10.6275315,2.92954508,3.757074107,2.321043515,1.814905839,21.64038577,0.02349051209,8.858285393,0.7333957302,67771.04383
834,1996,11,8,1996-11-08,5:35:00,3,GA,13,15,2,6,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.2,0,32.38,-83.17,32.42,-83.13,4,50,0,1996-11-08 4:35:00,4,1996,6437.36,35.90840403,7,231155.3238,Nov,15239745578,220,3.413028561,2.224785426,0.3254564489,1.175333907,0.402620871,0.1536464817,1.188243135,0.2696609115,0.6118646453,0.3041412331,0.1703040622,2.298710907,1.068661885,1.087833305,0.309536833,41239.88105
964,1996,11,30,1996-11-30,14:14:00,3,LA,22,17,2,9,2,0,0,2,0,0,0,0,0,0,2,2,0,0,0,1,0,0,1,2,0,32.53,-92.78,32.63,-92.67,10,250,0,1996-11-30 14:14:00,14,1996,16093.4,179.5420202,11,2889441.547,Nov,190496819720,225,48.86077462,22.97929348,5.336931898,12.10340874,3.931740425,2.176119759,25.88148113,5.369102933,12.89245423,4.258219983,2.79279665,19.71141639,28.65150448,17.34733008,4.131353528,42701.01239
980,1996,12,7,1996-12-07,13:58:00,3,FL,12,65,2,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.1,0,27.83,-82.3,27.83,-82.3,2,83,0,1996-12-07 13:58:00,13,1996,3218.68,59.60795069,1,191858.9187,Dec,12648988829,227,0.616039299,0.3140764535,0.1003691341,0.1199906662,0.0726081393,0.02037287627,0.3019628455,0.08727588435,0.1234519521,0.06663783249,0.0253328142,0.5556154208,0.03186823555,0.2169147979,0.05084285196,69773.7554
6,1997,1,4,1997-01-04,22:55:00,3,KY,21,1,1,2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.05,0,36.68,-85.15,36.68,-85.15,0.3,100,0,1997-01-04 22:55:00,22,1997,482.802,71.81680806,3,34673.29857,Jan,1704532508,229,0.09043749165,0.0423797714,0.009930155291,0.01621584524,0.01046464325,0.006251444064,0.04805772024,0.01091764486,0.01694316893,0.01144943366,0.00826515636,0.08871504818,0.0001905803434,0.04448432052,0.01164042383,24712.8007
17,1997,1,24,1997-01-24,17:00:00,3,AL,1,5,2,10,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,5,0,33.13,-87.57,33.25,-87.43,10,200,0,1997-01-24 17:00:00,17,1997,16093.4,143.6336161,11,2311553.238,Jan,152397455776,237,816.2482118,388.3671606,102.9730962,156.8146832,82.15475116,49.68842114,427.8810513,100.5067408,176.0110748,92.40540663,55.69403788,535.6497727,264.0080834,363.9718867,23.14253005,56611.16
63,1997,2,20,1997-02-20,19:59:00,3,AR,5,1,1,3,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.25,0,35.13,-94.02,35.17,-94.02,5,100,0,1997-02-20 19:59:00,19,1997,8046.7,71.81680806,4,577888.3094,Feb,28408875131,244,1.929126117,1.008510651,0.2684686868,0.3616956983,0.2434271197,0.120697134,0.9206154663,0.226968381,0.3488176623,0.2325687921,0.1264826431,1.855082737,0.01656357836,0.7522629756,0.1715587696,41855.30343
