,om,yr,mo,dy,date,time,tz,st,stf,mag,inj,fat,permanent_fat,mobile_fat,other_fat,unknown_fat,loss,closs,slon,slat,elon,elat,len,wid,kind,stroke,DateTim,Hour,Year,Length,Width,cas
398,783,1998,4,16,1998-04-16,14:35:00,3,KY,21,3,9,2,0,1,1,0,10.21,0,-86.78,36.92,-85.72,36.98,48,100,Tornado,#FFAA00,1998-04-16,14,1998,77248.32,71.81680806,11
399,935,1998,4,16,1998-04-16,15:50:00,3,TN,47,5,36,3,1,2,0,0,13,0,-88.02,35.22,-86.9,35.55,69.4,1760,Tornado,#FF00FF,1998-04-16,15,1998,111688.196,1263.975822,39
400,786,1998,4,16,1998-04-16,15:53:00,3,KY,21,2,0,1,1,0,0,0,5,0,-85.7,37,-85.57,36.98,8,100,Tornado,#008000,1998-04-16,15,1998,12874.72,71.81680806,1
404,154,1998,4,16,1998-04-16,22:20:00,3,TN,47,1,0,1,1,0,0,0,0.75,0,-85,35.17,-84.77,35.27,11.5,50,Tornado,#0000FF,1998-04-17,22,1998,18507.41,35.90840403,1
416,811,1998,5,7,1998-05-07,18:15:00,3,SC,45,3,9,1,0,1,0,0,1,0,-82.07,33.67,-81.85,33.65,12,880,Tornado,#FFAA00,1998-05-07,18,1998,19312.08,631.9879109,10
417,840,1998,5,10,1998-05-10,15:20:00,3,SC,45,2,7,1,0,1,0,0,5,0,-80.18,33.02,-80.03,32.98,10.5,670,Tornado,#008000,1998-05-10,15,1998,16898.07,481.172614,8
418,1091,1998,5,15,1998-05-15,15:40:00,3,MN,27,1,30,1,0,0,1,0,0.75,0,-94.57,45.63,-94.57,45.78,9,30,Tornado,#0000FF,1998-05-15,15,1998,14484.06,21.54504242,31
429,1009,1998,5,30,1998-05-30,19:26:00,3,SD,46,4,150,6,6,0,0,0,18,0,-97.68,43.75,-97.43,43.7,14,1150,Tornado,#FF0000,1998-05-30,19,1998,22530.76,825.8932927,156
436,311,1998,5,31,1998-05-31,18:50:00,3,PA,42,3,15,1,0,0,1,0,4,0,-79.08,39.75,-78.97,39.73,13,880,Tornado,#FFAA00,1998-05-31,18,1998,20921.42,631.9879109,16
442,1142,1998,6,2,1998-06-02,20:00:00,3,PA,42,3,15,2,2,0,0,0,2.2,0,-76.05,41.62,-75.8,41.57,26,500,Tornado,#FFAA00,1998-06-03,20,1998,41842.84,359.0840403,17
462,637,1998,6,27,1998-06-27,18:05:00,3,OH,39,2,1,1,0,1,0,0,0.07,0,-81.38,39.8,-81.38,39.8,0.3,200,Tornado,#008000,1998-06-27,18,1998,482.802,143.6336161,2
